A32	Drapers
E581	Gowns (unsterile Paper) x 54
E582	Masks
E583	gloves, boxed, unsterile, 10 boxes of 100
E584	gloves, boxed, unsterile, 10 boxes of 100
E585	gloves, boxed, unsterile, 10 boxes of 100
E586	gloves,boxed, unsterile, 9 boxes of150
E587	gloves, boxed,unsterile, 9 boxes of 150
E588	gloves, steril,assorted sizes
E589	gloves,unsterile, assorted sizes
E590	gloves, unsterile, boxed, assorted sizes
E591	gloves, unsterile, boxed med #9, large #1
E592	Gloves, unsterile, boxed
E593	gloves, sterile, assorted sizes
E594	gowns, paper
E595	OR gowns, paper
E596	unsterile boxed gloves
E597	unsterile paper gowns
E598	sterile surgical gowns
E599	unsterile paper gowns
E600	sterile surgical, drapes, etc.
E601	Gloves (sterile) 5.5x10,6x2,6.5x60,7x6,7.5x45,8x60,8.5x2,smx25,medx19,lrgx2
E602	Gloves (sterile) 5.5x13,6x20,6.5x80,7x3,7.5x80,8.5x8
E603	Gloves Boxed (unsterile) 10 boxes of 100 ea medium all vinyl
E604	Gloves (unsterile) ( boxes lrg, 1 box xlrg
E605	Gloves (unsterile) 10 boxes lrg
E606	Gloves (unsterile) sm x 8 boxes, lrg x 1 box, 1 box xlrg
E607	Gowns OR (paper)
E608	Gowns OR (paper)
E609	Gloves Loose (Unsterile)
E610	Masks-Surgical loop style
E611	Gowns (unsterile paper)
E612	Gowns (unsterile paper) X47
E613	Gloves boxed unsterile lrg x 10
E614	Gloves exam loose unsterile various sizes
E615	Gloves exam loose unsterile various sizes
E616	Gloves sterile 6x1, 6.5x37, 7x5, 7.5x70
E617	Gloves loose unsterile 5.5x3, 6x16, 6.5x22, 7x58, 7.5x48, 8x74, 8.5x37, 9x4
E618	Gloves unsterile boxed 10 boxes xl, 2 boxes lrg
E619	Gloves loose unsterile 5.5x3, 6x16, 6.5x22, 7x58, 7.5x48, 8x74, 8.5x37, 9x4
E620	Gloves boxed unsterile 7 lrg, 3 med
E621	Gowns (unsterile paper) X48
E622	Gowns (unsterile paper) X48
E623	Gowns (unsterile paper) X48
E624	Isolation Gowns x235
E625	Masks: procedure x 8 boxes; cone x 4 boxes; face shields x 2 boxes; filter x 12 boxes
E626	Gowns (unsterile, paper)
E627	Gloves (unsterile, boxed): large x 5 boxes; medium x 1 box; small x 4 boxes
E628	Gloves (unsterile, boxed): medium x 9 boxes; one size fits all x 1 box; 2 bags loose gloves (large x 1 bag; no size x 1 bag
E629	Gloves (unsterile, loose): large x 111; rest of box no size in 3 bags
E630	Gloves (unsterile, loose): 7.5 x 95; 8 x 81; 8.5 x 107
E631	Gloves (unsterile, loose): 5.5 x 227; 6 x 15; 6.5 x 21; 7 x 25; medium x 16
E632	Gloves (sterile): 8.5 x 31; 8 x 49; 7.5 x 46; 5.5 x 43; large x 43
E633	Gloves (sterile): 6 x 203
E634	Gloves (sterile): 7 x 161; medium x 41
E635	Gloves (sterile): 6.5 x 177; 9 x 1; 6 - 8.5 x 3; 9 and larger x 1; 6 - 9 x 31
E636	Gloves (sterile): 8 x 180
E637	Gloves (sterile): 7.5 x 185
E638	Gloves (sterile): 8.5 x 180
E639	Masks: procedure x 2 boxes, face shields x 3 boxes, surgical x 11 boxes, respirator x 2 boxes, loose bags x 3
E640	Gowns (sterile) x 37
E641	Gowns (unsterile, paper) x 66
E642	Gowns (unsterile, paper) x 49
E643	Gloves (sterile): small x 39, medium x 170, large x 69
E644	Gloves (sterile): 5.5 x 2, 6 x 22, 7 x 48, 8 x 19, 8.5 x 116
E645	Gloves (unsterile, boxed): small x 6 boxes, medium x 5 boxes
E646	Gloves (unsterile, boxed): medium x 10 boxes
E647	Gloves (unsterile, boxed): small x 10 boxes
E648	Gloves (unsterile, boxed): small x 10 boxes
E649	Gloves (unsterile, boxed): small x 10 boxes
E650	Shoe covers and leg covers
E651	Gowns (unsterile, paper) x 50
E652	Gowns (unsterile, paper) x 52
E653	Gloves (unsterile, boxed); small x 3 boxes, large x 3 boxes, X-large x 4 boxes
F14	Warming Device (Bair Hugger)
F77	Personal Care
F91	Personal Care
F92	99 Anti-Embolism Stockings
F96	Personal Care
F99	Facial Tissues 55 boxes
F100	Facial Tissues 55 boxes
F101	Facial Tissues 55 boxes
F110	Facial Tissues 55 boxes
F111	Facial Tissues 55 boxes
F117	Facial Tissues 55 boxes
F118	Facial Tissues 55 boxes
F119	Facial Tissues 55 boxes
F120	35 Toothettes; 12 Body Wipes; 1 Sitz Bath; Shave Kits; Deodorant
F121	Toothettes
F122	Patient Care: Abd. Binders; Come Castile Soap
F123	Personal Care
F124	Oral Care: Suction Tubing, Catheters, Mouth Swabs
F127	Fixodent Toothpaste
F128	Assorted Personal Care Supplies
F129	Personal Care: Towelettes; 4 Cushions; 1 Range of Motion Exerciser; Medicine Cups, Shower Caps
F130	Bladder Control Pads x10 Packs
F131	Bladder Control Pads x8 Packs
F132	Bladder Control Pads; Soap; Razors; Powder
F133	Patient Lift Pads x3; Wheelchair Pads x2
F134	Nail Brushes x3 Boxes
F135	Hair Combs
F136	Hair Combs
F137	Nail Brushes x2; Deodorant x60
F138	Mouth Wash, Lotion, Deodorant
F139	200+ Black Plastic Hair Combs
F140	200+ Black Plastic Hair Combs
F141	Shampoo Caps
F142	Personal Care Supplies
F143	Oral Care
F144	Anti-Embloism Stockings: Sm. x65; Med. x18; Lg. x6; XL x3; XXL x16
F145	Oral Care
F146	Shampoo Caps; Shower Caps
F151	Assorted Orthotics: Heel, Toe, Shoe
F152	Personal Care
F153	Personal Care
F154	Patient Care: Misc.
F155	Eye Care: Pads; Shields; Spears; Charts; Irrigators
F155	Personal Care: Mix
F156	Opthamalic Surgery: Eye Cannulas; Sponges; Dressings; Irrigators; Eye Pack; B&L Lens Delivery
F157	Eye Pads and Shield
F158	Eye Pads
F159	Dental Bibs
F160	Dental Bibs
G40	Ortho Immobilizers / Wrist Splints
G16	Lab Supplies/Specimen Collection
G20	Cast Boots (Orthro)
G38	Foam
G51	Shoulder Immobilizers (Orthro)
G221	foam
G241	heel protectors no exp
G242	immobilelizors no exp
G243	immobilizers
G245	Knee Immobilizers,low wrist splints,@slings
G247	back supporters @cervical collers
G248	Imobilizers,cervical collars,boots,slings
G250	10 foam
G252	1 Knee brace, 6 cervical collars, 6 arm slings, 1 back brace
G253	Positioning foam
G254	Wrist splints, surgical shoes, cervical collar, knee imobilizer, EZ boots, heel booties, knee abductor pillow, jobst stocking
G255	Elbow , heel protectors
G256	Imobilizers- cervical collars, slings, knee braces
G257	Elbow, heel protectors
G259	Foam 2 carter pillows face foam ones
G260	Imobilizer-cast shoes, cervical collars, slings
G261	Imobilizer - knee, cervical collars
G262	Immobilizers Assorted
G263	Immobilizers Knee, wrist, cervical
G264	Imobilizers-knee,foot,shoulder
G265	2 Leg/Foot brace, 1 mini foot brace, 3 arm components w stress ball
G267	Imobilizers-knee,foot,neck, wrist sling
G268	Soft boot x 12 heel protector x 13
G269	Foam X 5
G270	Soft boot X 50
G271	Soft boot X 50
G272	Cervical collars x 20
G273	Cervical collars x 19
G274	Cervical collars x 25, knee brace x 1, foot boot x 7 ankle x 2
G275	Cervical collars x 63
G276	Cervical collars x 63
G277	Cervical collars x 56
G278	Cervical collars x 61
G279	Ortho supplies
G280	Imobilizers-3 knee, 10 back braces, 15 arm slings, closed heel walker
G281	Assorted foam pieces Unsterile
G282	Various imobilizers
G283	Knee imobilizers
G284	Imobilizer boots
G285	Imobilizers-leg, wrist, clavical, foot
G286	Imobilizers- Back brace, pelvic, knee, heel, hernia
G287	Knee imobilizers Non sterile 25 lbs.
G288	Cervical collars, spinal braces 14 lbs
G290	Imobilizers-17 arm slings, 3 shoulder, 13 wrist, 3 knee 13.5 lbs.
G291	Post-op walking boots X 4, foot boots X 3, foam ankle protector 20 lbs.
G292	Heel protector X 22 8 lbs.
G293	Heel protector, elbow protector, 1 foot cradle 9 lbs.
G294	Imobilizers-heel protectors X 8, boots X 4, ankle brace X 1
G295	Misc. Tracheostomy Supplies: Holders, Masks, Care Kits, etc.
G296	54 Tracheostomy Care Kits
G297	53 Tracheostomy Care Kits
G298	Tracheostomy Tube Inner Cannulas
G299	50 Respiratory Tracheostomy Kits
G300	56 Tracheostomy Care Kits
G301	Tracheostomy (38 tubes, 40 inner cannulas, 12 suction systems, 20 inner cannulas, 40 trach. tube holders
G302	63 Tracheostomy Masks; 49 Drainage bags; 117 Holders/ties stoppers; 6 care kits some sterile
G303	Tracheostomy Tubes @ Supplies
G304	Trachestomey Care Kits x 48 + Trach Ties
G305	tracheostomy tubes(33), trach masks(15), inner cannulas(100)
G306	misc tracheostomy supplies
G307	Trach tubes Inner Cannula sizes 3-10
G308	Misc. tracheostomy supplies
G309	Tracheostomy care kits x 52, mini care kits x 23
G310	Tracheostomy care kits x 24
H143	Dressing Changes
H215	unsterile dressings
H226	steril dressings  ex 9/12
H239	unsterile dressings
H241	Central line care kits+extra masks
H242	Misc. (dressing,Proforce packing strips ,unibotts
H248	Unsterile dressings lrg absorbable
H250	Sterile Dressings
H252	Dressings (UNSTERILE)
H268	Dressings (sterile)
H269	Dressings (unsterile)
H273	Dressing sterile assorted x 16.5lbs
H275	Unna boot, coban X 55
H276	Unsterile dressings-tubular retainer net, ABD, 2x2,4x4 18.0 lbs.
H278	Sterile dressing  ABD 4x4 sterile 14.5lbs
H279	Unsterile dressing 14.5lbs
H280	Oxygen Tubing (Unsterile)
H281	60 Oxygen Nasal Cannula (Unsterile)
H282	Respiratory Mix
H283	Respiratory Mix
H284	Oxygen Tubing
H285	Flexible Blue Oxygen Tubing
H286	Flexible Blue Oxygen Tubing
H287	Flexible Blue Oxygen Tubing
H288	Oxygen Tubing
H289	Oxygen Nasal Cannulas x76
H290	Ambu Bags (Infant/Peds) x40
H291	Oxygen Tubing (Unsterile)
H292	70 O2 Nasal Cannula (Unsterile)
H293	1 Nebulizer Machine +25 Nebulizers
H294	12 Ambu Bags (Adult) non sterile
H295	Ambu bags 23 infant, 9  pedatric
H296	Tubing - Respiratory/Anesthesia
H297	60 Respratory Oxygen Tubing
H298	Tubing corrugated Flex
H299	31 Humidifiers 210 Humid Vent ,Condensor Humidifier
H300	Respirator Mix non sterile
H301	30 Oxygen Masks
H302	75 Oxygen Nasal Cannulas
H303	40 Adult oxygen masks
H304	70 Oxygen nasal/cannula masks
H305	70 Oxygen Nasal/cannaula Masks
H306	350 Tubing Connectors
H307	400 Straight Tubing Connectors
H308	400 Straight Tubing Connectors
H309	Ambu Pediatric x 25
H310	400 Straight Tubing Connecters
H311	Nebulizers ( 42 hand held 36 masks , 9 tubing , 1 bag of mouth pieces
H312	Oxygen Guages @ regulators
H313	14 Adult Ambu Bags
H314	oxygen tubing
H315	oxygen tubing
H316	nasal cannula
H317	airways, unstrile
H318	Ambu Bags Peadiatric x 20
H319	Oxygen Tubing
H320	2 Nebulizers with Tubing
H321	Ambu Bags (pediatric) x 26
H322	Ambu-Bags (adult) x 12
H323	60 O2 Masks; 50 Nasal Cannula; 40 Biflo Masks
H324	adult oxygen masks with tubing, #100
H323	Oxygen masks
H324	Ambu bags, infant/child
H325	CPAP masks, supplies, 1 machine
H326	CPAP, nasal and full masks
H327	Ambu bags, adult, #14
H328	Humidifiers for nebulizers
H329	O2 masks, nasal cannulas, tracheostomy masks
H330	Ambu bags 11 adult, 5 manual resusitators
H331	O2 tubing
H332	Respiratory mix- Connectors, filters etc
H333	Respiratory mix- Aero chambers, spriometers, peak flow meters
H334	Respiratory mix
I98	15 Funnels; 17 Ear/Ulcer; 175 Aseptos
I101	40 Glucometers [No Test Strips]
I102	Bulb Syringes & Funnels
I104	Irrigation Trays x52
I105	Irrigation Trays x56
I106	Soft Boots x12
I107	Bulb Syringes (Sterile) x100
I109	Bulb Syringes: 63 Sterile; 55 Unsterile\
Ear/Ulcer Syringes: 2 Sterile; 20 Unsterile
I110	BP Cuffs x67
I111	25 Irrigation Trays; 9 Irrigation Containers w/ Syringe
I112	Bulb Syringes: 80 Sterile; 40 Unsterile\
Ear/Ulcer Syringes: 1 Sterile; 50 Unsterile
I113	18 BP Cuffs; 1 Thigh Cuff
I115	EKG Adult Electrodes (115 Sets of 5)
I116	Defibrillator Pads (Unsterile) x76
I117	Defibrillator Pads (Unsterile) x105
I118	Cardiovascular Mix
I119	EKG Electrodes
J128	Paper Gowns (Unsterile)
J132	Gowns (Paper, Unsterile)
J182	Paper Gowns (Unsterile)
J222	Gowns (Sterile)
J225	Sheets (Paper, Sterile)
J228	Gowns (Paper, Unsterile)
J243	Gowns (Paper, Unsterile)
J244	Gowns (Paper, Unsterile)
J245	Gowns (Paper, Unsterile)
J248	Gloves (Unsterile, loose)
J257	Gowns (Paper, Unsterile)
J259	Gowns
J261	Gowns (unsterile)
J262	Gowns
J264	Gowns (Unsterile)
J324	unsterile paper gowns
J337	Exam Gloves x36
J378	44 unsterile paper gowns
J380	50 unsterile paper gowns
J382	Loose exam gloves unsterile
J383	16 Arthoscopy drapes
J384	Sterile x 38
J385	35 unsterile plastic gowns
J387	Paper gowns 86 ea. UNSTERILE
J388	Exam gloves UNSTERILE
J389	Exam gloves UNSTERILE
J390	Exam gloves UNSTERILE
J391	Impervious stockinettes 90 ea.
J396	Paper gowns 40 ea. unsterile
J397	Exam gloves (unsterile)
J398	Exam gloves (unsterile)
J399	Exam gloves (unsterile)
J400	Exam gloves (unsterile)
J401	Exam gloves (unsterile)
J402	Exam gloves (unsterile)
J403	Steril3 sheets
J404	unteril gowns paper x 48 & protective plastic gloves x67
J405	Exam gloves loose not sterile
J406	boxed exam gloves unterile,sm10,med4,lg4
J407	Paper gowns unsterile
J408	Paper gowns unsterile
J409	185 pr. exam gloves
J410	175 pr. exam gloves
J411	200 pr. exam gloves
J412	Paper gowns unsterile
J413	175 pr. exam gloves
J414	Gowns (Sterile)
J415	Gloves (unsterile)
J416	13 boxes vinyl gloves (unsterile)
J417	12 boxes vinyl gloves (unsterile)
J418	12 boxes vinyl gloves (unsterile)
J420	13 boxes vinyl gloves (unsterile)
J421	13 boxes vinyl gloves (unsterile)
J422	13 boxes vinyl gloves (unsterile)
J423	13 boxes vinyl gloves (unsterile)
J424	12 boxes vinyl gloves (unsterile)
J425	12 boxes vinyl gloves (unsterile)
J426	13 boxes vinyl gloves (unsterile)
J427	12 boxes vinyl gloves (unsterile)
J428	13 boxes vinyl gloves (unsterile)
J429	Loose gloves 5 boxes small, 13 boxes med., 3 boxes lrg.
J430	Gowns (Sterile) x 48
J431	Exam gloves (non sterile)
J432	Exam gloves (non sterile)
J433	Exam gloves (non sterile)
J434	Exam gloves (non sterile)
J435	Gowns 50 each Unsterile
J436	Gowns 36 each Unsterile
J437	gloves small/med unsterile
J438	gloves small/med unsterile
J439	Exam gloves (non sterile)
J440	Exam gloves (non sterile)
J441	Paper gowns unsterile, 33 XL, 10 lrg, 1 sm
J442	Paper gowns 40 ea.
J443	Unsterile gowns 50 ea.
J444	Exam gloves (non sterile) 10 boxes
J445	Exam gloves (non sterile) 8 boxes
J450	Paper gowns (sterile)
J451	Surgical gowns X 30
J452	Surgical gowns 35 lrg, 2 xxlrg  17 lbs.
J453	Surgical gowns X 40
J454	Surgical gowns X 44 (sterile) 26 lbs.
J455	Surgical gowns X 40 (sterile) 23 lbs.
J456	Surgical gowns X 33 (sterile) 16 lbs.
J457	Surgical sheets X 20 25 lbs.
J458	Surgical gowns (sterile) 28 xxlrg, 19 lrg 18 lbs.
J459	Surgical sheets X 52 18 lbs.
J460	Surgical gowns X 36 17 lbs.
J461	Surgical gowns (sterile) X 36 18 lbs.
J462	Surgical gowns X 33 (sterile) 22 lbs.
J463	Surgical gowns X 40  19 lbs.
J464	Exam gloves loose unsterile 17 lbs.
J465	Exam gloves loose unsterile 17 lbs.
J466	Boxed exam gloves (unsterile) sm nitrile @7 gloves, Latex #4 16.5 lbs.
J467	Gloves unsterile paper x lg x50 lg x2
J468	Gowns (sterile paper)xxx-lg x 1, xx-lg x 8 ,x lg x 13, lg x12
J469	Gowns unsterile paper xxx-lg x 2 ,x lg x46, lg x 1- 20.5 lbs
J470	Unsterile paper gowns x 58  -22 lbs
J471	Unsterile paper gowns x 49 -20 lbs.
J472	Unsterile paper gowns x lg.x46 -xxx lg. x 3 -lg. x 2 = 9.5 lbs.
J473	Gowns sterile paper 9 pcs. =18 lbs.
J474	Unsterile paper gownsx50 =17lbs.
J475	Paper gowns unsterile x42 =21lbs.
J476	Unsterile exam glovesx197 various sizes =17 lbs.
J477	Unsterile exam glovesx249 various sizes =17 lbs.
J478	gowns unsterile xl x 42-L x5 impervious x-XL x7=21 lbs.
J479	Exam gloves boxed unsterile  -size med.(nitirlex8 vinal x4  =16lbs
J480	Gowns unsterile paper xxx-lgx1-xx-lgx1-x-lg x44-lg- x 8  =19lbs
J481	Gowns unsterile paper /xx lg x 5 /x-lg x 40/lg x 3 plastic =21.5 lbs
J482	Unstetile exam gloves various sizes x 258  =18lbs
J483	Gowns unsterile paper (xxx lg xi) (xx lg x3) (x lg  45) (lg x 3 )  =21 lbs
J484	boxed unsterile gloves med. x 12= 15lbs
J486	Boxed unsterile gloves lg x 12 = 16.5lbs
J487	Gowns unsterile paper H01 =22.5lbs
J488	Gowns unsterile paper (xlx44) (xxlx1) (lx2)  =18.5lbs
J489	Gowns Steriel paper 6 lrg, 12 X-Lrg, 15 XX-Lrg, 1 XXX-Lrg 19 lbs.
J490	Gowns non sterile X 40 17.5 lbs.
J491	Gowns non sterile X 46 19.5 lbs.
J492	surgical sheets,drapes, cover, sterile X22, 24 lbs.
J493	gical sheets drapes@covers (sterile)x27 = 24lbs.
J494	Unsterile paper gowns x75 =20lbs
J495	Unsterile paper gowns x32 =20lbs
J496	Gloves (unsteril loose) sizes 5.5thru 9 =16lbs
J496	boxed unsterile gloves sm.x 12 = 15lbs
J497	Gloves (unsterile loose)sizes 6thru 9 =18lbs
J498	Feeding bags, gravity: Enteral (9); Feeding syringes (50)
J499	Ostomy supplies: urostomy pouch 1.75" (90); skin barrier rings 1.75" (30); ostomy barriers (40); stomhesive (10); stoma powder (1)
J500	Enteral Feeding bags & Sets (42)
J501	Kangaroo & Feeding Bags (75); Feeding syringes (25)
J502	nasograstic tubes
J503	Endoscopy Supplies
J504	unsterile plastic gowns -60
J505	Feeding @gastroscopy tubes
J506	Ostemy Bags + MISC. Supplies
J507	Hollister Ostemy (2.25",2.50" 2.75")
J508	88 Kangaroo Pump Feeding Bags non sterile
J509	kangaroo Pump sets x82
J510	Gravity FeedingBags
J511	Hollister Ostomy supplies 4" pouches
J512	Hollister Ostomy supplies 2.25 Pouches
J513	Hollister Ostomy supplies 1.75 Pouches
J514	Hollister Ostomy supplies Stoma adhesive 2.18"@2.75"
J515	Hollister Ostomy supplies @ skin barriers
J516	Convatec Ostomy Pouches @ stoma adhesive
J517	Coloplast Flex Ostomy Pouches @ skin barriers
J518	Enteral Ross Pump feeding bags
J519	Enteral Feeding Bags @ Pump Delivery x120
J520	Enteral Feeding Bags @ Pump Delivery x120
J521	Enteral Feeding Bags Gravity Delivery x 93
J522	110 Kangaroo Feeding Bags 1000 cc with Pump Sets
J523	Kangaroo Feeding Bags Pumpx110
J524	Fedding/Kangaroo Infinity Pumps x 110
J525	Kangaroo Feeding bags X95
J526	Assura, Convatec ostomy supplies
J527	Hollister ostomy supplies(1 3/4, 2 1/4, 2 3/4, 4)
J528	Feeding & Kangaroo Bags: 80 pump; 15 gravity; 70 feeding syringes
J529	Feeding & Kangaroo Bags x 80; feeding syringes x 60; Infinity pump x 1
J530	anascopes, fecal collectors, rectal tubes
J531	enema sets
J532	Digicare stool management system
J533	ostomy pouches, Hollister 2 3/4, Convatec, assorted sizes
J534	Ostomy pouches, skin barrier, Hollister,1 3/4
J535	Ostomy pouches, skin barrier, Hollister, 2 1/4
J536	Kangaroo feeding bags, gravity, #90
J537	Kangaroo feeding bags with pump
J538	1 Enteral life feed pump, 115 pump delivery sets
J539	110 Enteral Infinity Pump sets
J540	Digicare stool management system
J541	Feeding Bags: EntraLite enteral pump delivery system - 1200 ml x 153, 500 ml x 15
J542	Feeding Bags: EnteraLite Infinity Pump - 500 ml x 130, 1200 ml x 25
K3	Drapes (Paper, Unsterile)
K5	Drape Sheets (Unsterile)
K13	Sheets (Paper, Unsterile)
K15	Sheets (Paper, Unsterile)
K68	Sheets (Paper, Unsterile)
K69	Sheets (Paper, Unsterile)
K87	Sheets (Paper, Unsterile)
K88	Sheets (Unsterile)
K113	ED/OB/OR Gloves
K118	Sheets (Paper, Unsterile)
K119	Sheets (Paper, Unsterile)
K123	Sheets (Paper, Unsterile)
K125	Sheets (Plastic, U-Split, Unsterile)
K126	Sheets (Paper, Unsterile)
K135	Sheets (Plastic)
K137	Sheets (Paper, Unsterile)
K139	Sheets (Paper, Unsterile)
K147	Sheets (Paper, Unsterile) M, L
K155	Sheets (Paper, Unsterile)
K157	Sheets (Paper, Unsterile)
K158	Sheets, Drapes
K159	Sheets (Paper, Unsterile)
K161	Sheets (Paper, Unsterile)
K162	Sheets (Paper, Unsterile)
K168	Sheets (Paper, Unsterile)
K171	Sheets (Paper, Unsterile)
K228	Drapes (Sterile)
K231	OR Sheets (Unsterile)
K235	Gloves (Unsterile)
K308	plastic aprons
K310	masks
K311	plastic sheets
K312	misc plastic drapes & covers sterile & unsterile
K322	Plastic sheets not exp
K327	plastic sheets unsterile
K346	sterile gloves loose
K347	25  boxes masks
K349	unsterile paper sheets 9 split  30 small sheets  12 large sheets
K357	plastic sheets (80) no exp
K359	boxed exam gloves
K362	boxed exam gloves
K371	61 unsterile sheets
K373	48 unsterile sheets
K375	50 plastic sheets
K387	surgical masks 9 boxes of 50, 9 boxes of 25
K388	surgical masks 16 boxes of 50
K389	surgical masks 14 boxes of 50
K390	surgical masks 16 boxes of 50
K391	surgical masks 13 boxes of 50
K392	surgical masks 14 boxes of 25, 14 boxes of 50
K395	Sterile gloves
K403	18 boxes filtered masks
K404	18 boxes filtered masks
K405	18 boxes filtered masks
K406	18 boxes filtered masks
K407	18 boxes filtered masks
K408	18 boxes filtered masks
K409	18 boxes filtered masks
K410	18 boxes filtered masks
K412	18 boxes filtered masks
K413	18 boxes filtered masks
K414	18 boxes filtered masks
K415	18 boxes filtered masks
K416	Masks
K417	Head covers
K423	Surgical head covers
K423	Masks
K425	Plastic sheets (unsterile)
K426	18 boxes ear loop procedure masks
K427	Surgical masks
K428	Protective gowns
K429	50 boxes ear loop procedure masks
K431	50 boxes ear loop procedure masks
K431	OR sheets and drapes (unsterile)
K432	50 boxes ear loop procedure masks
K432	700 feet protectors, 7 extended boots
K433	OR sheets and drapes (unsterile)
K444	Paper Sheets
K445	OR masks (unsterile)
K446	OR caps (unsterile)
K447	Sheets (Paper, Unsterile) X 101
K448	Surgical gloves
K449	Surgical gloves (Sterile) 3 box 8.5 no exp. , 2 box 6.5
K450	Surgical gloves (Sterile) 5 boxes 8.5
K451	Surgical gloves (Sterile) 5 boxes 8.5
K452	Masks  16 lbs.
K453	Sheets (Paper, Unsterile) X 45  34.5 lbs
K454	Sheets plastic unsterile x 56=37 lbs.
K456	Gloves sterile 5x12-5.5x104-6x26-6.5x114-7x51-7.5x55-8x43-8.5x16-9x5- smx1 lx2   =32lbs.
K457	Paper sheets (unsterile) = 20.5lbs
K458	Unsterile plastic sheets x 60 = 35.5 lbs
K459	Sheets paper unsterile x62=22.5 lbs.
K460	Sheets unsterile paper x-68 =23.5 lbs
K461	Sheets paper unsterile x 62 =21lbs
K462	Sheets plastic unsterile x62 =31.5lbs
K463	Masks
K464	Plastics sheets @drapes unsterile x 56 =39lbs
K465	Gloves sterile x 13lbs.
K466	Gloves sterile x 13lbs.
K467	Sheets(unsterile) paper x62
K468	Gloves sterile assorted x12lbs
K469	Unsterile paper sheets x 60 =20 lbs
K470	Plastic Drapes (table @leg ) unsterile 33lbs
K471	Urinary (Foley caths.-96 ,Red Rubber texas-115 Spardi caths -60
K472	Urinary Catheter tray kits
K473	Hemodialysis blood tubing sets (48)
K474	Hemodialysis blood tubing sets (48)
K475	Foley kits (18); Drainage bags (5)
K476	Catheters: red rubber (350); male urinary control device (260)
K477	Urinary drainage bags (50); Texas cath (30); Foley (20)
K478	Urinary drainage bags (26); Foley (60); Male urinary control (110); clean catch (20) (Sterile);
K479	Urinary Catheter tray kits x 15
K480	Dialysis/ 11Peritoneal Dialysis eyelet set 34 prong manifold sets /15 COPD Dialysis disconnect sets
K481	Urology Mix /2 Bottles irrigation+7 urinals +7 Bed pans & 2Toilet Hats
K482	Dialysis / 21low (Baxter)reicirculator Volume Cassette 4 Prong & other Dialysis supplies
K483	305 Foley Catheters
K484	48 Medisys Dialysis Tubing
K485	12 Urinary Kits 20 bags
K486	Urolgoy Mix
K487	10 urinary Kits - 15 bags  sterile
K488	55 Urinary Catheters ,
K489	Urology mix ( TUR Tubing , 6-urnials, 5 guide wire ,6stone catcher , 11 removel sheath
K490	Urinary drainage ( Bags 14 urine meters , regular , 23 leg )
K491	Catheters (11 foley kits , 15 texas ,
K492	11 Foley Catheters , 167 Speedie Catheters  ,3 Urimeters Trays
K493	Urinary drainage Bags x 71 , Leg Straps x 63
K494	Catheter Foley Kits x 18
K495	Urine collection(urinals, toilet hats, 24 hr containers)
K496	dialysis tubing, catheters
K497	Urinary Cathethter Tray Kits x 12
K498	Urinary Catheter Kits x 18; Texas catheters x 18
K499	Urine Collection (miscellaneous): Bedpans x 18; urinals x 12
K500	Urinary Kits(13 kits, 13 with urometers
K501	Urinary drainage bags(36), urometers(10)
K502	urology mix, urostomy pouches, TURP tubing, etc.
K503	dialysis supplies
K504	foley catheters #298, self catheters #98
K505	Urinary drainage bags
K506	Foley Catheter tray kits X 20
K507	Catheters- Foley&self with adapters and bags
K508	Urinary catheter trays X 23
K509	Urostomy pouch supplies
K510	Urine collection- 25 bed pans, 10 urinals, 15 trianglular graduated containers
K511	Urinary drainage bags X 64
K512	Dialysis trays x 14
K513	Urinary catheter kits x 17
K514	Urinary drainage bags x 25, urimeters x 10
K515	Catheters: Female quick cath kits x 189
K516	Catheters: Female quick cath kits x 182
K517	Catheters: Female quick cath kits x 150
L2	Drapes (Unsterile)
L8	Paper Drapes
L10	Underpads
L44	Drapes (Unsterile)
L75	Drapes (Unsterile) & Split Sheets
L80	Drapes (Unsterile)
L83	Drapes (Unsterile)
L84	Drapes (Paper, Unsterile)
L85	Drapes (Paper, Unsterile)
L86	Drapes (Paper, Unsterile)
L87	Drapes (Paper, Unsterile)
L92	Drapes (Unsterile)
L97	Drapes (Paper)
L99	Paper Drapes
L102	Drapes (Paper, Unsterile)
L106	Drapes (Paper, Unsterile)
L110	Drapes (Paper, Unsterile)
L111	Drapes (Paper, Unsterile)
L112	Drapes (Paper, Unsterile)
L114	Drapes (Paper, Unsterile)
L115	Drapes (Paper, Unsterile)
L116	Drapes (Paper, Unsterile)
L141	Drapes (Paper)
L180	Drapes (Paper, Unsterile)
L182	Drapes (Paper, Unsterile)
L183	Drapes (Paper, Unsterile)
L184	Drapes (Paper, Unsterile)
L185	Drapes (Paper, Unsterile)
L186	Drapes (Paper, Unsterile)
L191	Drapes (Unsterile)
L205	Drapes (Paper, Unsterile)
L206	Drapes (Paper, Unsterile)
L207	Drapes (Paper, Unsterile)
L211	Drapes (Paper, Unsterile)
L212	Drapes (Paper, Unsterile)
L213	Drapes (Paper, Unsterile)
L214	Drapes (Paper, Unsterile)
L215	Drapes (Paper, Unsterile)
L217	Drapes (Paper, Unsterile)
L218	Drapes (Paper, Unsterile)
L222	Drapes (Paper, Unsterile)
L224	Drapes (Paper, Unsterile)
L225	Towels & Barriers (Sterile)
L229	Drapes (Paper, Unsterile)
L230	Drapes (Paper, Unsterile)
L231	Drapes (Paper, Unsterile)
